typo_word,correct_word,typo_type
category,category,no_typo
city,city,no_typo
country,country,no_typo
address,address,no_typo
street,street,no_typo
market,market,no_typo
price,price,no_typo
quality,quality,no_typo
review,review,no_typo
order,order,no_typo
delivery,delivery,no_typo
